"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,0.683823529411765,0.687967760506621,0.690637200736648,0.689814662074881,0.689783852742847,0.692304473244914,0.690936106983655,0.681930856054646,0.679996788657049,0.679164056559837,0.677812923633077,0.675512622667087,0.675844848353611,0.670640834575261,0.695413758723828,0.689021589343133,0.688684663986215,0.686758893280632,0.686768985909979,0.691121743753323,0.682471264367816,0.682831762776411,0.676014021031547,0.677691278856118,0.693839474624241,0.689421338155515,0.689421338155515,0.689259046524986,0.716303640114508,0.703703703703704,0.68208778173191,0.693756194251734,0.699088145896657,0.710623183287604,0.691487972883802,0.698529411764706,0.698462929475588,0.688861314862705,0.69637041334437,0.693069306930693,0.726335520149953,0.73378179821847,0.721133268596874,0.712213185932334,0.736222161309156,0.717840761372912,0.71282575370465,0.734628398765952,0.734386480529023,0.735857462348713,0.767857142857143,0.756578947368421,0.738453276047261,0.773346511542645
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38365384615385,5.28571428571429,4.77636363636364,5.12825572217837,4.34339774557166,4.91803278688525,5.56962025316456,5.90909090909091,5.80098170459616,4.99895833333333,4.99895833333333,4.96834415584416,4.97996794871795,5.0462962962963,5.58008680948642,5.58008680948642,5.65217391304348,5.53703703703704,5.4484126984127,5.69620253164557,5.5,5.58008680948642,4.8
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",3,,,,,,,,,,,,,,,,,0.66435227967682,0.659547738693467,0.651951202451341,0.632458233890215,0.625,0.635424940428912,0.634649589889912,0.645297434886833,0.652184412430314,0.664497817607727,0.647994276979952,0.641750321750322,0.652991828916793,0.633383010432191,0.633383010432191,0.63622754491018,0.634920634920635,0.633383010432191,0.633383010432191,0.63622754491018,0.633383010432191,0.63622754491018,0.621728813849699,0.643893960341949,0.626904777067166,0.623306233062331,0.616547334924423,0.617573280599573,0.620666202183073,0.61674909198129,0.624346917450366,0.631809338521401,0.636027903159622,0.634441087613293,0.634364917479683,0.63622754491018,0.660136286201022,0.656655441854383,0.655963210565171,0.640279394644936,0.647600262984878,0.64811564648592,0.647345612134344,0.65142612931909,0.645718004694048,0.644061302681992,0.6230110948654,0.650054171180932,0.659444182760245,0.631809338521401,0.656614785992218,0.656614785992218,0.638524666905076,0.652011922503726,0.648202710665881,0.647250591525655,0.674373795761079,0.66067081666965,0.66851210305882,0.673777315296566
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",4,,,,,,,,,,,,,,,0.678263369752731,0.672747215300407,0.677583286278938,0.68865800743387,0.68407960199005,0.695782145230526,0.69290465631929,0.676099361880685,0.675267432522853,0.677583286278938,0.671487603305785,0.664282064384262,0.664282064384262,0.670600858369099,0.653780557134736,0.643666323377961,0.646895273401297,0.652434546662225,0.646088805082812,0.652533398208037,0.657030268771484,0.657894736842105,0.652633875316853,0.653167864141084,0.660708959581929,0.651401500197394,0.656598818122127,0.662833111425758,0.66671417665987,0.648484848484848,0.654098360655738,0.652173913043478,0.657894736842105,0.65863262178063,0.658589100679859,0.658228016850637,0.669164882226981,0.680225241362839,0.674854640586862,0.677110993096123,0.656737874945967,0.664697193500739,0.674161463349506,0.666666666666667,0.678541136556404,0.678607744070709,0.687799043062201,0.703140303968477,0.703672049025582,0.716941051513542,0.69193742478941,0.696077431839331,0.68082788671024,0.674786043449638,0.66348195329087,0.666370501999112,0.68952952127097,0.695825049701789,0.696378830083565,0.686111322308216,0.706445654627638,0.714771953710007
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,0.861882418496528,0.841747480264649,0.859504132231405,0.915813002611242,0.851900393184797,0.863849896364697,0.86017833428192,0.863439306358382,0.818986994071954,0.7992,0.815826330532213,0.806978677724221,0.840958636874885,0.844230769230769,0.839457361924947,0.826580226904376,0.815313718539525,0.857142857142857,0.869289984395875,0.858825051759834,0.841248724239894,0.817867932671558,0.820263394662512,0.829596412556054,0.850891410048622,0.887358184764992,0.863213811420983,0.868253161795611,0.854777684601135,0.860738833125891,0.869144643383709,0.851614462150879,0.860738833125891,0.863273572377158,0.873628606257619,0.862641388469112,0.863213811420983,0.837828417979715,0.836962300570449,0.852272727272727,0.918912849616233,0.909817335716919,0.921156950065413,0.886155606407323,0.879942645074224,0.902527075812274,0.9183216738285,0.95222351911824,0.961869462319322,0.98512320651853,0.970158990911444,0.947277424524778,0.920190440954507,0.918773340102012,0.917852419103462,0.929706209081886,0.940291490362012,0.943658998689138,0.898066107020909,0.917483462933486,0.918918918918919,0.977517106549365,1.00599092730953,0.950756877350837,1.0129659643436,0.947995666305525
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",6,1.11438183347351,1.11808835263419,1.03092783505155,1.03851146689745,1.12344732655803,1.04903677758319,1.09703971789161,1.06119517376108,1.09321058688147,1.10452586206897,1.03349964362081,1.03349964362081,1.02357320099256,1.09871534820825,1.07063115935082,1.06786083362039,1.06647707074298,1.08885017421603,1.08314749920357,1.13219094247246,1.11683679798678,1.05808080808081,1.03349964362081,1.0567296996663,1.01112234580384,1.02372868282596,1.02787456445993,1.05985233263586,1.08278703802055,1.0801728898903,1.05828540678707,1.05882352941176,1.05982194858141,1.03104459165853,1.01797862001944,1.03232666592343,1.03047520661157,1.01803898748909,1.03047520661157,1.01419878296146,1.01699029126214,1.01735073146213,1.02777777777778,1.05367793240557,1.01244964123102,1.01699029126214,1.00973622978631,1.01735073146213,1.01735073146213,1.02167609865158,1.02890288685391,1.03488920320603,1.05367793240557,1.02553536956313,1.04198826798395,1.05274168017059,1.05,1.03223814876017,1.03305785123967,1.1171855635704,1.11921801195052,1.16638608449826,1.1572856391373,1.1572856391373,1.17481203007519,1.12714156898106,1.0859447719516,1.10195000427085,1.14010875086824,1.12648994067884,1.13378099173554,1.17190835304695,1.21450304259635,1.20351754467789,1.09871534820825,1.13899613899614
"Enterprise","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,0.690505590699132,0.686356073211314,0.686427464523277,0.678051230537418,0.683872131556442,0.683372184884087,0.676164769705351,0.67804823034323,0.671004473363156,0.655021834061135,0.642999006951341,0.659020217729393,0.663199973609949,0.661727133367399,0.648837209302326,0.650054171180932,0.649445690241629,0.656334667500316,0.658740359897172,0.657771118890801,0.648285705776995,0.645235892691952,0.642330111329884,0.639158738549689,0.632183908045977,0.637181409295352,0.639599555061179,0.659801688650075,0.647345612134344,0.65274105098763,0.649675324675325,0.653153153153153,0.650538754269202,0.646711012564671,0.63716814159292,0.631768953068592,0.631964672933641,0.63801256077348,0.641592920353982,0.64468236952526,0.648409641991157,0.650406504065041,0.650671004473363,0.652938221998995,0.65864833906071,0.657894736842105,0.645994832041344,0.651747794838288,0.656295576081672,0.658082975679542,0.64,0.654614651010844,0.650887573964497,0.663887592459021,0.670307845084409,0.67024407125274,0.669925415031818,0.668639053254438,0.662089259440902,0.665188470066519,0.658426076203725,0.662065439672802,0.674662668665667,0.688468158347676,0.691317035062727,0.683006933889093
"Northwest","El Paso","TX","El Paso","El Paso",8,,,,,,,,,,,,,,,0.7600406710727,0.776799585706888,0.769915219667406,0.76544429360563,0.776296355559342,0.753012048192771,0.7446277779392,0.745958791864964,0.771465100906381,0.768049498376981,0.779132791327913,0.759606791778374,0.757079446663434,0.728422210005498,0.774068381109598,0.788079550321972,0.811511428810901,0.812182741116751,0.782548476454294,0.774621910734047,0.770712909441233,0.753343895326759,0.776799585706888,0.771812080536913,0.758462811799327,0.760089686098655,0.77049570929481,0.748222970445193,0.747419931326189,0.746616892207186,0.729023383768913,0.778251599147121,0.779132791327913,0.752421485910673,0.751547303271441,0.741404147238333,0.743463487316977,0.761990138951143,0.743578188373141,0.710704593441243,0.71264367816092,0.722983257229833,0.723763570566948,0.719208870242733,0.722481937951551,0.722481937951551,0.748467099260507,0.72289156626506,0.720519444692836,0.738786279683377,0.741989293687842,0.752024681835712,0.747690531177829,0.746284666651449,0.745941202281702,0.745763054645472,0.749866095340118,0.739469542762183,0.733040251673792,0.741108764956734,0.751995309299583,0.754762413951724
"Southeast","Arlington","TX","Dallas-Fort Worth","Tarrant",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653282842307577,0.642857142857143,0.670103882304214,0.653840082939621,0.661077188235524,0.662692571722175,0.667364016736402,0.671809814504914,0.66692789968652,0.679041353383459,0.679041353383459,0.674295055169595,0.678501945525292,0.680163785259327,0.678771649454375,0.676829327457126,0.679041353383459,0.671332953533297,0.679041353383459,0.695595290013083,0.673854447439353,0.652629343193307,0.658578856152513,0.674223145663737,0.69047619047619,0.703564727954972,0.725,0.720126497832891,0.666416765672788,0.70625,0.695652173913043,0.708675601872492,0.756302521008403,0.738990224755872,0.725652077485784,0.708806221101303,0.715881494779896,0.70255725781099,0.715672003881611,0.722405833682067,0.76
"Centennial Hills","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,0.676916465938589,0.681115465916011,0.652508168364405,0.671449755282995,0.66882060635774,0.659840507125981,0.663834306956984,0.664451827242525,0.661727133367399,0.664731088051221,0.661727133367399,0.659201160933307,0.660146699266504,0.662465133965898,0.662465133965898,0.657811855468968,0.64507635597683,0.641816143497758,0.641816143497758,0.63520782396088,0.644405389572349,0.662133142448103,0.665390138822403,0.664260056148602,0.660919540229885,0.669583715179833,0.65980045059543,0.657701711491443,0.656677181913775,0.65796997091908,0.636500480370802,0.640860215053763,0.643277158975843,0.644405389572349,0.641816143497758,0.642999006951341,0.650609080841639,0.661561874160008,0.672537635597458,0.660793584812086,0.665467625899281,0.663575451930814,0.65955959641719,0.65955959641719,0.640454995054402,0.675024108003857,0.653651940621327,0.668285799781249,0.661885245901639,0.664820148654522,0.661705205664873,0.671422576584138,0.661727133367399,0.65470417070805,0.673634652505018,0.660146699266504,0.673892100192678,0.673967293664907,0.67413842717959,0.696513858301047,0.734282626814754
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",11,,,,,,,,,,,,,,,0.782068997206896,0.82412722233785,0.834633095662507,0.791497060153777,0.76303518440017,0.768093743873981,0.741935483870968,0.790136789056875,0.78915295551493,0.75821398483572,0.766475361594358,0.75978959672706,0.74009324009324,0.746552750218448,0.730954567640238,0.766621438263229,0.737820647941748,0.753991720875222,0.745815436628863,0.728040703844554,0.729431106336155,0.732844770153231,0.763935829840926,0.766832917705736,0.75041689827682,0.747764902163466,0.769725557461406,0.772708175905419,0.772708175905419,0.766621438263229,0.746268656716418,0.741005438572026,0.755229686619177,0.740167082086081,0.748359079228231,0.753783469150175,0.780572419774501,0.778894472361809,0.772986167615948,0.772986167615948,0.772777373084782,0.784465020576132,0.753996572986296,0.770142180094787,0.780015094141682,0.779457768508863,0.779457768508863,0.780137695035765,0.781865616519013,0.815709477090074,0.828953169562282,0.795778665145465,0.781865616519013,0.794714729398129,0.774985038898863,0.805129990714949,0.79981718464351,0.793650793650794,0.814111261872456,0.806902985074627,0.832485689977773,0.863034623217923
"Lake View","Chicago","IL","Chicago","Cook",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73076923076923,1.5225,1.54875,1.6,1.5625,1.56639705882353,1.51041666666667,1.58810160427807,1.59962121212121,1.51041666666667,1.55555555555556,1.59583333333333,1.66416666666667,1.5
"Memorial","Houston","TX","Houston","Harris",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31746706332342,1.32275132275132,1.23219098960339,1.22154358689617,1.17206505010674,1.23521387023508,1.2763072166351,1.2927820615407,1.34721007262422,1.39453805926787,1.4404609475032,1.54582505588421,1.40724946695096,1.30820399113082,1.21479845389288,1.1729301233118,1.23275609040211,1.2606005042402,1.23946784922395,1.15828583433301,1.15999578080723,1.14883554464811,1.14080834419817,1.26171593366979,1.25324114088159
"Salem","Virginia Beach","VA","Virginia Beach","Virginia Beach City",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838159861610382,0.842861334059808,0.846681922196796,0.833333333333333,0.841584158415842,0.851115572481166,0.84030187369882,0.822916666666667,0.825364963299967,0.828985397827865,0.837864557587741,0.829764453961456,0.845386533665835,0.837883698290193,0.825656024305998,0.85101489557439,0.84857507443641,0.832567401960784,0.825763831544178,0.831113959757346,0.820823244552058,0.822942643391521,0.826353548676489,0.851115572481166,0.856389986824769,0.855337850555242,0.846002942618931,0.840657732104776,0.827750467655631,0.827750467655631,0.813858180361744,0.813858180361744,0.801797540208136,0.809273840769904,0.832177531206657,0.852726514730406,0.845638046969089,0.854285714285714
"Jamaica Plain","Boston","MA","Boston","Suffolk",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07142857142857,2.11111111111111,2.04592803030303,1.88461538461538,1.83973834832379,1.9375,2.075,2.11253561253561,2.04326923076923,2.14907407407407,2.375,2.1751574127075,2.23611111111111,2.33928571428571,2.35714285714286,2.30769230769231,2.32142857142857,2.32142857142857,2.13888888888889,2,2.03725961538462,2.09090909090909,2.42857142857143,2.42857142857143,2.41176470588235,2.35423197492163,2.40625,2.20833333333333
"Northwest Harbor","East Hampton","NY","New York","Suffolk",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.6666666666667,12.9166666666667,14.5138888888889,14.8518518518519,15.7545454545455,15.6,15.2593648208469,15,15.5555555555556,13.961038961039,15
"Alafaya","Orlando","FL","Orlando","Orange",17,,,,,,,,,,,,,,,0.654468004177301,0.674217907227616,0.694742489270386,0.696335078534031,0.701803640269803,0.672424139130929,0.668087196250777,0.675797783437661,0.675340850366889,0.670567529975734,0.67063697566028,0.660714285714286,0.681426106958022,0.675675675675676,0.698089778769349,0.701803640269803,0.694172024853326,0.686515748031496,0.672366484963686,0.686515748031496,0.6900878293601,0.684931506849315,0.671186790505676,0.699844479004666,0.705386246631263,0.70586137282478,0.716602283293603,0.722408917776819,0.723172628304821,0.717213114754098,0.710350955131053,0.698434983215984,0.702865027630529,0.708544839255499,0.704310064391073,0.701803640269803,0.704865848112779,0.723172628304821,0.718496683861459,0.735294117647059,0.708908406524467,0.723172628304821,0.723172628304821,0.723826200450183,0.72166861867916,0.723172628304821,0.746457763620519,0.747314339093881,0.746322704351694,0.743423560808235,0.742397137745975,0.7262192979465,0.723172628304821,0.74879421221865,0.746457763620519,0.75,0.754009063937752,0.753040207782441,0.740039601988492,0.748920338660844,0.74785612591471,0.772357723577236
